노선번호,﻿ISC노선ID,회사명,기점정류소명,종점정류소명,기점첫차시간,기점막차시간,운행시간,노선인가거리,면허대수,인가운행횟수,최소배차간격,최대배차간격,평균배차간격
770-1,28228010,태양여객,오조산공원,오조산공원,05:30:00,2330,01:00:00,17.2,8,88,9,14,00:11:30
78,28043002,인천제물포교통,마전지구버스차고지,송정역,05:00:00,2320,02:36:00,48.41,10,70,12,19,00:15:30
780,28326001,더월드교통,송도공영차고지,주안역환승정류장,05:00:00,2300,02:20:00,37,8,35,25,40,00:32:30
780-1,28326002,더월드교통,송도공영차고지,주안역환승정류장,05:00:00,2300,02:05:00,34.5,12,85,13,15,00:13:00
780-2,28326004,더월드교통,인천대학교공과대학,종합터미널,05:00:00,2320,02:00:00,31,7,62,15,20,00:17:30
79,28002005,삼환교통,공단유통상가,부개역,04:30:00,2220,04:25:00,67.5,16,64,17,17,00:17:00
790,28020001,신강교통,옹진군청,영흥도,05:00:00,2110,04:00:00,115.8,6,18,50,60,00:55:00
8,28009001,송도버스,인천대학교공과대학,송내역,05:05:00,2306,04:29:00,65.4,42,168,5,8,00:06:30
80,28034002,선진여객,청소년수련관,송내역,05:00:00,2315,03:32:00,46.1,26,134,7,9,00:08:00
800,28302001,강화선진버스,강화터미널,종합터미널역,05:00:00,2200,05:59:00,106.74,12,36,24,31,00:27:30
81,28315033,영풍운수,율도근린공원,예송중학교,05:00:00,2230,04:00:00,58.7,14,61,16,18,00:17:00
82,28315034,영풍운수,율도근린공원,복합환승센타투모로우시티,05:00:00,2230,04:23:00,67.5,14,55,18,20,00:19:00
